username,mac_address,ip_address
jleggon0,16-69-0B-63-43-35,203.35.254.245
pjumel1,61-B3-F7-C9-62-AB,180.84.1.249
groke2,8A-27-0A-9B-79-D8,253.110.235.99
nbraithwaite3,D3-91-3E-DB-AF-89,248.51.46.160
ngiovanitti4,A4-FF-D2-5A-59-B8,154.41.37.223
hevanson5,1B-7C-5B-F9-B1-8C,168.11.126.182
bgerren6,6A-B0-4A-21-0C-5A,248.190.209.154
odawidowitz7,55-A0-18-77-8B-99,199.208.66.105
salejandri8,2C-F9-34-B4-C8-1E,231.242.0.139
jduigan9,1A-DC-40-15-E7-2A,120.202.172.110
unussena,9B-12-64-4E-F6-91,175.132.240.95
kbartodb,59-66-F0-B1-E7-32,47.254.191.135
gfiguresc,33-F0-24-78-1A-F6,190.15.173.251
ctrimmingd,E9-A3-56-62-E2-B7,17.206.52.171
pmatteae,1C-86-28-BE-FE-7C,39.119.127.9
rsuffef,70-D5-DF-F6-0C-5C,246.1.60.234
isketchleyg,79-A7-20-02-B4-DB,185.165.123.207
dvondrysh,9F-41-60-73-6C-34,204.113.144.135
lduckworthi,85-05-55-0E-35-A6,17.165.236.42
rboguej,2B-C7-29-EF-93-3E,178.176.226.205
bmarderk,53-23-82-D2-0E-48,12.42.58.228
fbruffelll,08-BE-79-55-C2-8E,31.1.119.52
mkubesm,4D-A1-DF-12-EE-9C,147.176.196.201
rwoltmann,0D-0C-39-08-94-F5,9.232.26.14
emickleborougho,70-E4-4E-FF-95-0D,193.96.221.2
jbettesonp,3B-7B-0A-C1-8E-A8,240.225.172.51
ckunnekeq,DD-BE-D7-9C-7E-8F,61.39.234.141
mmendozar,78-FA-B8-E1-C2-B6,98.192.238.208
bpickless,12-05-54-1D-87-D5,228.48.145.213
avandenoordt,52-F4-89-C3-90-31,139.236.31.19
dplayhillu,B5-18-99-92-92-CF,119.94.26.40
htarquiniov,08-C7-14-DA-0E-18,87.108.78.13
cdayerw,7F-38-4A-04-99-31,214.151.186.179
vmedewayx,79-35-B7-77-9A-E8,72.150.200.65
bclendeningy,28-3E-4A-1C-8B-93,211.25.163.133
chullotz,43-87-D4-32-6D-32,92.75.157.155
tmckague10,7C-67-D8-57-0E-65,151.190.18.221
nwellan11,3F-C8-D8-B5-18-E2,192.101.246.159
lbresnen12,94-B3-B1-84-8B-FE,109.131.233.129
kfroud13,BE-74-E3-47-7F-5F,190.213.214.166
mfittis14,90-81-17-6C-2A-F9,212.154.61.153
kdust15,09-C5-20-C5-72-26,206.49.198.41
rnicklin16,16-9D-28-18-2D-F5,168.13.65.28
jsmallcomb17,B1-FE-7D-D8-D1-09,193.221.242.70
cdarlaston18,1A-BB-2B-48-3D-B6,170.70.57.22
pdunsmuir19,44-B7-01-02-8B-06,154.187.24.90
iguerry1a,94-20-82-66-8F-A8,100.226.28.115
cschutter1b,9B-E1-F9-4F-B3-24,224.138.11.69
djudkins1c,01-F7-7A-BA-57-77,205.235.197.92
ppartner1d,E6-75-83-C4-71-04,82.218.87.236
inewman1e,CC-82-70-E0-41-A8,130.222.237.254
wdelue1f,9A-32-25-64-15-75,128.30.184.42
aewbanche1g,27-2E-7A-D7-E9-ED,66.103.0.42
rciottoi1h,CA-C6-CF-19-62-22,193.124.97.118
jgodar1i,A5-D8-9A-32-51-44,147.119.2.173
relsegood1j,20-7A-9B-A9-11-DB,183.166.249.238
piorizzi1k,37-73-12-1C-BD-D9,154.76.167.70
smorgon1l,86-D5-6E-58-F3-9D,255.199.34.214
dpopescu1m,BF-2F-ED-48-93-CF,218.218.86.15
drishworth1n,0A-41-1B-13-C8-2C,217.49.56.159
nvasilyonok1o,63-29-6F-5C-1B-05,108.8.25.99
hdugan1p,57-20-5B-17-67-CA,69.73.182.58
kvedenisov1q,6E-B6-D7-18-41-AD,110.40.132.164
hbiddell1r,F3-BF-9C-D0-7F-97,66.175.167.181
nsiggery1s,79-0C-2C-AC-F7-31,42.186.98.82
mvinsen1t,19-FE-20-AF-0D-E6,176.158.6.220
ckleinfeld1u,1C-DD-3C-76-D6-93,255.81.50.120
rnibley1v,CC-B8-82-0B-2D-D2,8.189.225.169
gogglebie1w,BB-F3-FA-52-5C-F8,140.238.180.98
faldred1x,45-D8-62-51-08-83,102.142.253.16
cbroadbury1y,7F-66-E9-C1-3F-95,212.195.183.141
wrichmond1z,B9-7C-88-2B-3F-7E,250.18.190.247
ltimmins20,10-51-B8-7F-A8-E5,18.87.72.221
mvasiliu21,2E-DE-E4-30-FA-67,166.77.149.143
kmaggi22,41-CC-47-57-BE-FB,124.127.2.113
eomullen23,80-9F-0C-70-40-09,141.237.199.114
mlordon24,E6-F6-47-2F-22-99,173.209.97.35
pyurenev25,74-3F-C1-A9-A3-3A,164.125.69.140
prodenburgh26,01-EE-6C-BD-39-C9,236.191.40.204
cgilffillan27,55-BD-50-8A-E9-C9,72.39.45.46
drowaszkiewicz28,01-7C-B3-23-C7-3F,134.38.243.238
bdeviney29,F2-0F-6F-86-48-50,101.124.9.124
padamou2a,F6-D5-AD-FA-02-DA,123.74.33.134
cissacov2b,2B-BB-AE-43-C0-A7,4.94.142.84
nfallen2c,8C-84-C5-A7-29-1C,92.173.171.31
wkarle2d,50-DC-EC-0F-D0-B6,136.121.112.183
mcovotti2e,DD-0C-79-9C-7D-7C,236.100.18.200
agarroway2f,E0-B0-65-63-AD-D8,190.193.255.254
rtoppes2g,4D-FF-4E-49-27-19,124.33.237.234
pmellmer2h,6E-58-1F-3F-5D-F7,171.162.207.184
lhabberjam2i,77-9C-A0-9D-C1-88,75.176.103.10
ssimester2j,20-E4-7C-E5-8C-C0,202.145.89.76
rjefferys2k,C2-47-2F-E7-79-55,215.165.148.71
rivan2l,73-40-36-7E-03-67,226.39.169.220
kbrecken2m,EA-D7-3E-12-52-59,145.31.23.115
wcrowhurst2n,F8-4E-A0-55-3E-17,19.10.24.164
rmilkin2o,6E-B2-8B-01-15-40,152.211.108.212
nblant2p,B4-07-76-B9-07-4D,23.13.223.137
tsheryne2q,A9-35-6E-39-23-2D,74.114.180.231
zchace2r,30-58-69-8E-CE-4E,60.100.214.167
domrod2s,1C-E7-CF-90-01-BC,11.183.216.195
pcottee2t,C0-02-0F-47-B0-E0,4.24.23.126
araycroft2u,6B-95-66-E2-20-01,93.67.94.133
rcater2v,63-6D-F3-A6-74-87,240.190.26.44
rhubbock2w,72-6A-58-04-52-AC,215.234.85.240
eproud2x,9E-EB-9F-36-7C-0C,115.31.254.193
epaslow2y,7C-E7-76-1D-25-E4,0.47.190.101
cboschmann2z,34-54-80-9B-20-09,81.43.105.59
odonner30,8F-E7-8A-E8-3E-07,46.204.47.183
chartigan31,BA-17-58-A1-5A-78,242.6.248.50
cbowld32,F1-6A-60-F4-F8-CD,32.159.204.88
cdacombe33,4B-64-70-8D-24-31,250.216.5.189
mwiburn34,11-8B-09-F7-B3-3C,12.109.143.139
gtremberth35,FE-64-9E-E5-47-9D,167.155.206.42
smaasz36,29-E1-B3-F3-DE-2B,39.5.188.195
astickel37,56-B9-23-25-1F-18,22.226.90.91
gmacphaden38,33-B7-F6-98-66-89,12.142.151.30
cridger39,99-CB-62-AB-32-45,42.79.211.200
vnewarte3a,57-02-FF-D5-C9-1A,232.197.4.244
dcristofari3b,9C-06-04-7E-FE-70,89.152.10.220
dflag3c,54-03-42-B0-FD-D5,189.142.7.197
jjohanning3d,6E-12-11-A1-AC-D1,154.147.189.41
rchadburn3e,6B-41-51-01-F5-90,248.56.125.52
abedson3f,F2-82-A2-78-58-67,28.173.210.193
sdeverale3g,62-54-7C-5B-F8-52,237.106.167.165
smarr3h,A6-99-34-42-05-07,113.35.237.64
kcroll3i,C5-04-AF-CB-0D-68,235.144.153.194
cmethingam3j,A1-D5-5C-45-C6-A4,104.172.211.100
tclemmensen3k,C2-2F-69-A8-C6-8D,225.200.167.173
abemlott3l,61-32-26-3D-A1-E7,250.199.135.42
kwhitcombe3m,2B-F7-CC-FF-C1-06,24.192.16.58
edroogan3n,45-21-67-1D-5D-36,8.188.5.130
denns3o,06-01-6C-4B-C4-F1,99.165.144.17
mcharville3p,CF-30-70-2E-75-B6,221.30.208.108
lfuxman3q,0A-AC-BF-1D-02-9C,243.37.100.67
lbraisted3r,C2-ED-B3-D7-02-3E,236.230.191.35
smulholland3s,8D-65-30-B0-E2-35,78.84.108.163
hcreser3t,03-BD-0A-7A-D4-4A,23.119.164.143
ledwards3u,F9-E2-CF-DB-A6-02,194.183.233.204
adixey3v,97-AA-20-F2-37-2B,234.41.218.5
benglishby3w,1B-38-AC-FA-19-04,70.109.179.232
kdomingues3x,43-BB-4A-91-53-B0,64.122.92.232
smcclenaghan3y,B5-76-08-83-D5-72,96.160.16.62
emccorkindale3z,09-E3-C4-C1-94-61,205.134.213.166
gstrother40,78-FB-8C-20-5F-37,67.173.208.64
dhooke41,31-8C-5C-10-B1-28,71.156.215.148
irubenczyk42,13-12-96-2E-97-3E,196.28.36.253
jtorresi43,4C-4C-08-9F-64-8A,248.19.216.107
rrosiello44,57-9E-54-97-FC-48,79.239.78.56
cpina45,0E-F0-E5-23-BD-81,176.69.77.63
jshovelin46,28-61-73-24-0A-11,58.100.47.55
aharty47,F5-5C-DD-B2-80-BC,173.155.123.221
dgyngyll48,2D-4C-AB-D1-EA-CF,178.103.98.155
aarnaut49,7E-E3-54-74-30-D7,44.37.166.234
iglavias4a,97-67-6E-F6-0D-61,21.71.58.195
cmclafferty4b,D6-26-42-24-EF-C2,182.60.17.114
egillard4c,07-1A-0C-7C-86-59,80.243.192.215
bpicheford4d,91-BC-F7-0A-19-98,88.63.31.171
jburgne4e,83-D7-8F-30-A8-67,96.91.98.105
randrock4f,4D-D3-7B-DC-76-22,254.234.93.67
lbenediktovich4g,71-B1-33-AA-3B-E6,191.3.136.176
gdraisey4h,B6-15-87-A2-1E-24,19.234.74.4
agercke4i,25-E6-28-69-05-33,131.48.252.96
mdurban4j,07-E7-3A-38-98-29,235.174.245.158
tmcvaugh4k,46-91-B6-AC-CD-B8,161.201.39.26
leckert4l,57-44-F1-6D-23-99,35.128.94.77
otradewell4m,92-98-B9-73-E0-47,113.237.74.166
csenner4n,EB-21-31-6D-A7-8B,186.142.190.52
